Marcos_Moore,https://twitter.com/Marcos_Moore,"5,658",https://twitter.com/Marcos_Moore/status/1484581408131751939,Yes,VWAP/Brazil,Trading acct using TA. No EW mention.
tier10k,https://twitter.com/BlackHatCapital,"2,951",https://twitter.com/BlackHatCapital/status/1484561297542942723,Yes,VWAP,Trading acct using TA. No EW mention.
msdaancypto,https://twitter.com/msdaancrypto,"9,027",https://twitter.com/msdaancrypto/status/1487725532871598081,Yes,Fib/Netherlands,Trading acct and TA for stocks and crypto. No EW mention.
cake_rades,https://twitter.com/cake_trades,"5,909",https://twitter.com/cake_trades/status/1486909538645250052,Yes,Fib,"Trading acct using Fib. Has EW post, mixed views of EW but has trusted EW ""technician"": https://twitter.com/cake_trades/status/1294698663097307144"
dashingfahad1,https://twitter.com/dashingfahad11,"4,787",https://twitter.com/dashingfahad11/status/1487271017164640262,Yes,EW,Crypto acct using TA with EW mention.
FlyingCrypto,https://twitter.com/FlyingCryptos,"3,851",https://twitter.com/FlyingCryptos/status/1371664080424030210,Yes,EW,Crypto Ta acct using EW.
Beekeyy,https://twitter.com/Beekeyyy,"1,106",https://twitter.com/Beekeyyy/status/1487643465802522624,Yes,Fib,Crypto TA acct using Fib
Justsharesonai,https://twitter.com/Justsharesonaim,16.3K,https://twitter.com/Justsharesonaim/status/1488094367273340939,Yes,Fib,Crypto and trading acct using TA. No EW mention.
TraderLevis,https://twitter.com/TraderLeevis,"9,102",https://twitter.com/TraderLeevis/status/1485996535125000202,Yes,Fib,Price action trading acct using other TA. No EW mention.
RHCap2010,https://twitter.com/RHCap2014,16.9K,https://twitter.com/RHCap2014/status/1485996285257830402,Yes,Fib,Trading acct using TA. No EW mention.
drweeklyopions,https://twitter.com/drweeklyoptions,13.4K,https://twitter.com/drweeklyoptions/status/1485991817866891285,Yes,Fib,Trading acct using TA. No EW mention.
stlycrypt,https://twitter.com/stylycrypt,"1,439",https://twitter.com/stylycrypt/status/1485983094427561986,Yes,Fib,"Trading acct using some TA. Also, posts about Fib ""how to use"": https://twitter.com/stylycrypt/status/1396091447212904449"
def_project,https://twitter.com/def_project,"1,099",https://twitter.com/def_project/status/1452376397444534286,Yes,EW,Crypto Ta acct using EW.
manuellondra,https://twitter.com/manuellondra,"2,993",https://twitter.com/manuellondra/status/1485978746003902468,Yes,Fib/Argentina,Crypto acct using TA. No EW mention.
paradox,,,,,,